Station,TEMP,TDS,pH,TURB,WQI
IND00001,30.0,264.0,8.1,2.0,62.5861111111
IND00001,28.0,246.0,8.4,2.0,58.6222222222
IND00001,29.0,258.0,8.2,1.0,60.95
IND00001,28.0,200.0,8.7,1.0,49.5472222222
IND00001,26.0,260.0,8.1,2.0,60.6972222222
IND00001,28.0,176.0,8.4,10.0,46.7888888889
IND00001,12.0,229.603294359,6.8,30.0,56.722862792
IND00001,32.0,210.0,7.65,0.2,52.1041666667
IND00001,30.0,229.603294359,8.1,20.1385306715,59.9286473857
IND00001,27.0,229.603294359,8.3,20.1385306715,59.1564251635
IND00001,30.0,229.603294359,8.17,20.1385306715,59.9500362746
IND00001,27.0,229.603294359,7.99,20.1385306715,59.0617029413
IND00001,26.0,100.0,8.45,3.0,29.9152777778
IND00001,28.0,229.603294359,7.9,20.1385306715,59.311980719
IND00001,32.0,229.603294359,8.32,20.1385306715,60.5514251635
IND00001,28.0,229.603294359,8.4,20.1385306715,59.4647584968
IND00001,22.0,229.603294359,8.35,20.1385306715,57.7828140524
IND00001,23.0,229.603294359,8.3,20.1385306715,58.0453140524
IND00001,24.0,229.603294359,8.05,20.1385306715,58.2467029413
IND00001,23.0,229.603294359,8.3,20.1385306715,58.0453140524
IND00001,29.0,229.603294359,8.2,20.1385306715,59.6814251635
IND00001,19.5,229.603294359,7.8,20.1385306715,56.9203140524
IND00001,20.0,0.0,8.5,14.0,11.2638888889
IND00001,27.0,0.0,8.6,22.0,15.0166666667
IND00001,31.0,0.0,8.6,35.0,19.0166666667
IND00001,21.0,0.0,8.2,15.0,11.6722222222
IND00001,26.0,0.0,7.1,8.0,11.1694444444
IND00001,25.0,0.0,7.0,15.0,12.4166666667
IND00001,26.0,0.0,7.8,14.0,12.7166666667
IND00001,24.0,0.0,7.2,11.0,11.3111111111
IND00001,23.0,0.0,7.0,11.0,10.9722222222
IND00001,30.0,0.0,7.4,10.0,12.8166666667
IND00001,28.0,0.0,7.5,25.0,15.625
IND00001,27.5,0.0,8.0,10.0,12.3055555556
IND00001,29.0,0.0,8.2,14.0,13.6722222222
IND00001,29.0,229.603294359,8.28,20.1385306715,59.7058696079
IND00001,28.0,229.603294359,8.13,20.1385306715,59.3822584968
IND00001,26.0,229.603294359,8.27,20.1385306715,58.869480719
IND00001,26.0,229.603294359,8.18,20.1385306715,58.841980719
IND00001,15.0,0.0,8.3,10.0,8.925
IND00001,20.0,0.0,8.2,8.0,9.83888888889
IND00001,26.0,0.0,8.0,10.0,11.8888888889
IND00001,23.0,0.0,8.2,12.0,11.5611111111
IND00001,26.0,0.0,8.3,12.0,12.425
IND00001,23.0,0.0,7.9,12.0,11.4694444444
IND00001,29.0,0.0,8.0,12.0,13.1666666667
IND00001,32.0,0.0,8.3,14.0,14.5361111111
IND00001,26.0,0.0,8.6,13.0,12.7388888889
IND00001,25.0,0.0,7.4,12.0,11.8722222222
IND00001,29.0,0.0,8.5,12.0,13.3194444444
IND00001,24.0,229.603294359,8.5,96.0,75.2423072365
IND00001,28.0,229.603294359,8.6,37.0,63.272862792
IND00001,26.0,133.0,8.0,26.0,41.3055555556
IND00001,23.0,132.0,8.6,6.0,36.0166666667
IND00001,20.0,276.0,8.5,6.0,63.1527777778
IND00001,19.0,137.0,8.6,6.0,35.8777777778
IND00001,19.0,125.0,8.1,8.0,33.8361111111
IND00001,21.0,138.0,8.2,10.0,37.3944444444
IND00001,23.0,144.0,8.1,10.0,39.0861111111
IND00001,25.0,158.0,8.6,10.0,42.5166666667
IND00001,26.0,161.0,8.3,15.0,44.3972222222
IND00001,28.0,164.0,8.3,15.0,45.5361111111
IND00001,23.0,112.0,8.5,15.0,34.0972222222
IND00001,29.5,202.0,8.5,10.0,52.2916666667
IND00001,27.0,184.0,8.1,10.0,47.975
IND00001,19.5,164.0,8.2,4.0,40.7
IND00001,20.0,178.0,8.2,5.0,43.7833333333
IND00001,26.0,185.0,8.5,5.0,46.9027777778
IND00001,23.0,188.0,8.2,20.1385306715,49.9252290381
IND00001,28.0,276.0,7.9,23.0,68.9694444444
IND00001,26.0,258.0,8.3,2.0,60.3694444444
IND00001,25.0,138.0,8.9,305.0,104.275
IND00001,29.0,148.0,8.2,63.0,53.3388888889
IND00001,27.0,178.0,8.3,6.0,45.9805555556
IND00001,27.0,212.0,7.9,3.0,51.8027777778
IND00001,21.0,200.0,8.4,6.0,48.6222222222
IND00001,18.0,236.0,8.2,16.0,56.95
IND00001,21.0,225.0,8.1,2.0,52.5027777778
IND00001,27.0,210.0,7.9,2.0,51.1916666667
IND00001,28.0,0.0,7.6,15.0,13.4333333333
IND00001,26.0,0.0,7.9,25.0,15.1916666667
IND00001,28.0,0.0,8.3,28.0,16.5361111111
IND00001,27.0,0.0,8.1,12.0,12.6416666667
IND00001,26.0,0.0,8.3,14.0,12.8694444444
IND00001,26.0,0.0,8.4,14.0,12.9
IND00001,26.0,0.0,8.3,12.0,12.425
IND00001,25.0,0.0,8.0,8.0,11.1666666667
IND00001,26.0,0.0,7.8,31.0,16.4944444444
IND00001,28.0,0.0,7.6,14.0,13.2111111111
IND00001,30.0,0.0,7.7,31.0,17.575
IND00001,30.0,0.0,8.2,20.0,15.2833333333
IND00001,29.0,0.0,7.9,35.0,18.2472222222
IND00001,32.0,0.0,8.0,20.0,15.7777777778
IND00001,28.0,0.0,7.9,28.0,16.4138888889
IND00001,28.0,0.0,7.8,20.0,14.6055555556
IND00001,28.0,0.0,7.4,20.0,14.4833333333
IND00001,23.0,0.0,8.0,17.0,12.6111111111
IND00001,20.0,0.0,8.3,28.0,14.3138888889
IND00001,18.0,0.0,8.4,14.0,10.6777777778
IND00001,21.0,0.0,7.8,10.0,10.4388888889
IND00001,23.5,0.0,8.2,10.0,11.2555555556
IND00001,28.0,0.0,8.5,8.0,12.1527777778
IND00001,26.0,0.0,8.3,12.0,12.425
IND00001,29.0,0.0,8.2,15.0,13.8944444444
IND00001,25.0,0.0,7.0,17.0,12.8611111111
IND00001,22.0,0.0,7.0,20.0,12.6944444444
IND00001,22.0,229.603294359,7.85,20.1385306715,57.6300362746
IND00001,21.0,229.603294359,7.9,20.1385306715,57.3675362746
IND00001,23.0,229.603294359,7.9,20.1385306715,57.9230918301
IND00001,24.0,229.603294359,7.9,20.1385306715,58.2008696079
IND00001,28.5,229.603294359,8.1,20.1385306715,59.511980719
IND00001,29.0,229.603294359,8.1,20.1385306715,59.6508696079
IND00001,29.0,229.603294359,8.28,20.1385306715,59.7058696079
IND00001,26.0,229.603294359,8.34,20.1385306715,58.8908696079
IND00001,28.0,229.603294359,8.21,20.1385306715,59.4067029413
IND00001,25.0,229.603294359,8.46,20.1385306715,58.6497584968
IND00001,22.0,229.603294359,8.22,20.1385306715,57.7430918301
IND00001,20.0,229.603294359,8.13,20.1385306715,57.1600362746
IND00001,25.0,229.603294359,8.22,20.1385306715,58.5764251635
IND00001,27.0,229.603294359,8.39,20.1385306715,59.1839251635
IND00001,29.0,229.603294359,8.5,20.1385306715,59.7730918301
IND00001,29.0,229.603294359,8.51,20.1385306715,59.7761473857
IND00001,22.0,229.603294359,8.33,20.1385306715,57.7767029413
IND00001,26.0,233.0,7.8,3.0,55.5777777778
IND00001,26.0,234.0,7.4,3.0,55.65
IND00001,28.0,210.0,7.9,3.0,51.6916666667
IND00001,26.0,134.0,7.6,51.0,46.9333333333
IND00001,26.0,192.0,7.9,10.0,49.1916666667
IND00001,25.0,176.0,8.0,4.0,44.5
IND00001,23.0,184.0,8.1,5.0,45.7527777778
IND00001,21.0,203.0,7.9,13.0,50.6083333333
IND00001,19.0,250.0,7.4,3.0,56.8166666667
IND00001,24.0,225.0,8.2,3.0,53.5888888889
IND00001,27.0,232.0,8.2,2.0,55.5611111111
IND00001,29.0,228.0,8.2,2.0,55.3388888889
IND00001,29.0,254.0,8.4,6.0,61.3444444444
IND00001,29.0,167.0,8.3,117.0,69.0638888889
IND00001,26.0,156.0,8.2,95.0,61.1722222222
IND00001,27.0,171.0,8.0,8.0,44.9722222222
IND00001,25.0,204.0,8.2,4.0,50.0055555556
IND00001,22.0,214.0,8.1,7.0,51.7527777778
IND00001,22.0,233.0,8.2,5.0,55.0333333333
IND00001,26.0,223.0,8.3,5.0,54.2305555556
IND00001,26.0,238.0,7.9,4.0,56.8027777778
IND00001,30.0,247.0,8.2,5.0,59.9777777778
